N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"77,700",하락600,-0.77%,100,"4,638,521","5,969,783",56.26,"9,354,794",18.99,4.15,
2,SK하이닉스,"185,500","하락5,600",-2.93%,"5,000","1,350,444","728,002",54.98,"4,269,091",54.05,-15.61,
3,LG에너지솔루션,"359,000","하락4,000",-1.10%,500,"840,060","234,000",4.85,"231,065",-500.00,6.36,
4,삼성바이오로직스,"957,000","상승2,000",+0.21%,"2,500","681,135","71,174",12.88,"51,278",66.23,9.12,
5,현대차,"252,500","상승4,500",+1.81%,"5,000","528,776","209,416",41.04,"445,923",5.47,13.68,
6,삼성전자우,"62,500",보합0,0.00%,100,"514,304","822,887",75.99,"519,060",15.28,N/A,
7,셀트리온,"202,500",보합0,0.00%,"1,000","439,468","217,021",22.81,"579,815",114.41,5.07,
8,기아,"104,000","상승1,600",+1.56%,"5,000","415,853","399,858",41.24,"663,603",4.35,20.44,
9,KB금융,"86,800",상승300,+0.35%,"5,000","350,248","403,511",76.23,"1,113,426",8.37,8.44,
10,신한지주,"60,000",상승900,+1.52%,"5,000","305,636","509,393",60.62,"1,153,982",7.21,8.36,
11,POSCO홀딩스,"340,000","하락7,000",-2.02%,"5,000","287,542","84,571",28.37,"250,183",21.26,3.18,
12,삼성물산,"149,700","상승3,000",+2.04%,100,"266,143","177,784",26.90,"343,979",12.28,7.28,
13,NAVER,"164,900",상승200,+0.12%,100,"265,134","160,785",43.18,"579,365",17.47,4.41,
14,삼성SDI,"330,500","하락5,000",-1.49%,"5,000","227,267","68,765",38.23,"193,338",13.64,11.48,
15,LG화학,"315,000","하락1,000",-0.32%,"5,000","222,366","70,592",36.05,"276,898",155.40,4.20,
16,현대모비스,"219,500",상승500,+0.23%,"5,000","204,124","92,995",40.38,"134,418",6.00,8.73,
17,하나금융지주,"67,300",상승800,+1.20%,"5,000","196,756","292,357",69.33,"785,687",5.90,9.01,
18,삼성생명,"97,400",상승400,+0.41%,500,"194,800","200,000",20.92,"167,047",10.76,4.95,
19,메리츠금융지주,"94,000","상승2,400",+2.62%,500,"179,277","190,720",16.84,"371,708",9.23,28.11,
20,HD현대중공업,"198,200",하락500,-0.25%,"5,000","175,948","88,773",9.96,"212,579",86.29,0.47,
21,삼성화재,"356,000","상승3,500",+0.99%,500,"168,654","47,375",53.99,"76,755",9.44,12.73,
22,크래프톤,"348,000","상승2,000",+0.58%,100,"166,671","47,894",40.72,"150,829",18.87,11.16,
23,카카오,"37,450",하락100,-0.27%,100,"166,088","443,492",26.71,"863,802",-17.12,-10.26,
24,포스코퓨처엠,"213,500","하락5,500",-2.51%,500,"165,384","77,463",9.60,"223,266","-10,675.00",1.19,
25,LG전자,"98,700",상승600,+0.61%,"5,000","161,520","163,648",32.42,"266,231",16.03,3.69,
26,KT&G,"107,300","상승3,000",+2.88%,"5,000","139,836","130,322",44.98,"523,770",13.89,9.76,
27,한화에어로스페이스,"275,500","하락2,500",-0.90%,"5,000","139,486","50,630",36.92,"337,404",49.88,25.60,
28,한국전력,"21,200",상승150,+0.71%,"5,000","136,096","641,964",14.89,"1,615,806",19.85,-12.63,
29,HD한국조선해양,"189,800","하락2,000",-1.04%,"5,000","134,327","70,773",30.06,"236,938",16.94,2.26,
30,HMM,"17,630",하락340,-1.89%,"5,000","132,056","749,039",10.52,"942,435",7.41,4.59,
31,LG,"80,100",하락400,-0.50%,"5,000","125,998","157,301",35.38,"67,798",12.75,4.89,
32,우리금융지주,"16,540",하락60,-0.36%,"5,000","122,825","742,592",44.67,"1,612,998",5.10,8.30,
33,SK텔레콤,"56,100",상승800,+1.45%,100,"120,497","214,790",42.44,"724,866",10.59,9.63,
34,두산에너빌리티,"18,010",상승250,+1.41%,"5,000","115,365","640,561",21.23,"2,134,621",72.62,0.78,
35,삼성에스디에스,"148,900","하락1,500",-1.00%,500,"115,216","77,378",19.04,"79,340",16.32,8.22,
36,한미반도체,"117,800","하락2,900",-2.40%,100,"114,258","96,994",12.45,"651,295",72.63,55.54,
37,HD현대일렉트릭,"314,000",하락500,-0.16%,"5,000","113,188","36,047",33.83,"177,424",25.28,27.71,
38,기업은행,"14,160",상승20,+0.14%,"5,000","112,916","797,426",15.29,"981,058",4.14,8.79,
39,고려아연,"534,000","하락1,000",-0.19%,"5,000","110,556","20,703",18.34,"23,378",20.06,5.72,
